url,title,publish_date,price,price_per_sqm,usable_area,bedroom,restroom,coords,full_address,sub_district,district,province,postcode,latitude,longitude
https://www.ddproperty.com/property/lumpini-condo-town-raminthra-latplakhao-2-ลุมพินี-คอนโดทาวน์-รามอินทรา-ลาดปลาเค้า-2-กรุงเทพ-ขาย-11611484,"Lumpini Condo Town Raminthra-Latplakhao 2 : ลุมพินี คอนโดทาวน์ รามอินทรา ลาดปลาเค้า 2, กรุงเทพ",2025-11-20,1490000.0,57308.0,26.0,1.0,1.0,"13.8487512,100.6002403","ถ. ลาดปลาเค้า, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8487512,100.6002403
https://www.ddproperty.com/property/magnix-ramintra-21-แม็กนิกซ์-รามอินทรา-21-ขาย-8565307,"Magnix Ramintra 21 : แม็กนิกซ์ รามอินทรา 21, กรุงเทพ",2025-11-26,1790000.0,74583.0,24.0,1.0,1.0,"13.875637,100.5969465","ซอยรามอินทรา 19 แยก 4 ถนนรามอินทรา, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/คอนโดแม็กนิกซ์-รามอินทรา-21-ขาย-8565324,"Magnix Ramintra 21 : แม็กนิกซ์ รามอินทรา 21, กรุงเทพ",2025-11-26,2300000.0,74194.0,31.0,1.0,1.0,"13.875637,100.5969465","ซอยรามอินทรา 19 แยก 4 ถนนรามอินทรา, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/kensington-พหลโยธิน-63-ขาย-60092133,"Kensington พหลโยธิน 63, กรุงเทพ",2025-11-26,3490000.0,96944.0,36.0,2.0,1.0,"13.875637,100.5969465","ซอยพหลโยธิน 63 ถนนพหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/brown-condo-phaholyothin-67-บราวน์-คอนโด-พหลโยธิน-67-ขาย-60150164,"Brown Condo Phaholyothin 67 : บราวน์ คอนโด พหลโยธิน 67, กรุงเทพ",2025-11-26,2100000.0,84000.0,25.0,1.0,1.0,"13.8645823,100.5903107","369 ถนนพหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8645823,100.5903107
https://www.ddproperty.com/property/knightsbridge-phaholyothin-interchange-ไนท์บริดจ์-พหลโยธิน-อินเตอร์เชนจ์-ขาย-500035887,"KnightsBridge Phaholyothin Interchange : ไนท์บริดจ์ พหลโยธิน - อินเตอร์เชนจ์, กรุงเทพ",2025-11-26,3500000.0,118846.0,29.0,1.0,1.0,"13.8824483,100.6007312","พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8824483,100.6007312
https://www.ddproperty.com/property/wynn-condo-พหลโยธิน-52-ขาย-60162950,"Wynn Condo พหลโยธิน 52, กรุงเทพ",2025-11-26,1800000.0,64748.0,28.0,1.0,1.0,"13.875637,100.5969465","2/282 ซอยพหลโยธิน 52 ถนนพหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/modiz-station-phahonyothin-ramindra-modiz-station-พหลโยธิน-รามอินทรา-ขาย-60138702,"Modiz Station Phahonyothin-Ramindra : Modiz Station พหลโยธิน – รามอินทรา, กรุงเทพ",2025-11-26,1800000.0,77187.0,23.0,1.0,1.0,"13.8645823,100.5903107","259 ถนนพหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8645823,100.5903107
https://www.ddproperty.com/property/บางเขนซิตี้แมนชั่น-ขาย-11599299,"บางเขนซิตี้แมนชั่น, กรุงเทพ",2025-11-26,1273000.0,23852.0,53.0,1.0,1.0,"13.875637,100.5969465","อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/โครงการคริสตัน-สแควร์-ขาย-11256020,"โครงการคริสตัน สแควร์, กรุงเทพ",2025-11-26,238000.0,8117.0,29.0,1.0,1.0,"13.875637,100.5969465","อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/ศรีบุรินทร์คอนโด-sriburin-condo-ขาย-11384684,"ศรีบุรินทร์คอนโด (Sriburin Condo), กรุงเทพ",2025-11-26,500000.0,17123.0,29.0,1.0,1.0,"13.8766716,100.6170951","Soi Phahonyothin 57, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8766716,100.6170951
https://www.ddproperty.com/property/นิวพอร์ตเพลส-คอนโดมิเนียม-ขาย-11397657,"นิวพอร์ตเพลส คอนโดมิเนียม, กรุงเทพ",2025-11-26,173000.0,8366.0,21.0,1.0,1.0,"13.875637,100.5969465","อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/premio-fresco-พรีมีโอ-เฟรสโก-ขาย-11835464,"Premio Fresco : พรีมีโอ เฟรสโก, กรุงเทพ",2025-11-26,1690000.0,62825.0,27.0,1.0,1.0,"13.8730827,100.5988717","57/47 ถนนรามอินทรา, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8730827,100.5988717
https://www.ddproperty.com/property/kensington-พหลโยธิน-63-ขาย-11836288,"Kensington พหลโยธิน 63, กรุงเทพ",2025-11-26,1800000.0,79260.0,23.0,1.0,1.0,"13.875637,100.5969465","ซอยพหลโยธิน 63 ถนนพหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/kensington-พหลโยธิน-63-ขาย-11836418,"Kensington พหลโยธิน 63, กรุงเทพ",2025-11-26,1800000.0,78775.0,23.0,1.0,1.0,"13.875637,100.5969465","ซอยพหลโยธิน 63 ถนนพหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
https://www.ddproperty.com/property/rich-park-terminal-phahonyothin-59-ริชพาร์ค-ลอฟท์-แอท-หลักสี่-สเตชั่น-ขาย-11775067,"Rich Park Terminal @ Phahonyothin 59 : ริชพาร์ค ลอฟท์ แอท หลักสี่ สเตชั่น, กรุงเทพ",2025-11-26,2600000.0,105263.0,25.0,1.0,1.0,"13.8803553,100.6174775","144 พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8803553,100.6174775
https://www.ddproperty.com/property/the-cube-premium-รามอินทรา-34-ขาย-11601217,"The Cube Premium รามอินทรา 34, กรุงเทพ",2025-11-26,1950000.0,69544.0,28.0,1.0,1.0,"13.8425583,100.6330534","ซอยรามอินทรา 34, ท่าแร้ง, บางเขน, กรุงเทพ",ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10220,13.8425583,100.6330534
https://www.ddproperty.com/property/silk-place-phaholyothin-laksi-ซิลค์-เพลส-พหลโยธิน-หลักสี่-ขาย-60056173,"Silk Place Phaholyothin Laksi : ซิลค์ เพลส พหลโยธิน-หลักสี่, กรุงเทพ",2025-11-26,1950000.0,58682.0,33.0,1.0,1.0,"13.875637,100.5969465","229 ถ.พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.875637,100.5969465
